pos_x,pos_y,pos_z,vel_x,vel_y,vel_z,x_ref,y_ref,z_ref,vx_ref,vy_ref,vz_ref,ax,ay,az,force_x,force_y,force_z
0.941156888,-0.268283848,1.02344145,-0.15600782,-0.509482093,0.018008596,0.951056516,-0.293892626,1,-0.194129167,-0.507985974,0,0.4571436,-0.4489056,0.32104778,2.7428616,-2.6934336,4.17362114
0.932440439,-0.29280766,1.024097402,-0.174328977,-0.490476231,0.013119045,0.940880769,-0.318711995,1,-0.212800304,-0.483809268,0,0.42634344,-0.42895406,0.3359117,2.55806064,-2.57372436,4.3668521
0.922675687,-0.316122772,1.024890939,-0.195295043,-0.46630224,0.015870734,0.929776486,-0.342273553,1,-0.231261433,-0.457723188,0,0.41778845,-0.43611604,0.3192296,2.5067307,-2.61669624,4.1499848
0.912000056,-0.33831353,1.02540231,-0.213512619,-0.443815162,0.010227429,0.917754626,-0.364484314,1,-0.249494334,-0.429830684,0,0.3839218,-0.42651445,0.33062455,2.3035308,-2.5590867,4.29811915
0.900261862,-0.359277715,1.02593856,-0.234763872,-0.419283713,0.010724996,0.904827052,-0.385256621,1,-0.267481015,-0.400241835,0,0.36495408,-0.41032133,0.31832856,2.18972448,-2.46192798,4.13827128
0.887502206,-0.378865943,1.026202145,-0.25519312,-0.391764555,0.005271696,0.891006524,-0.404508497,1,-0.285203724,-0.369073414,0,0.35047057,-0.40312615,0.32627696,2.10282342,-2.4187569,4.24160048
0.873812461,-0.39705943,1.026419314,-0.273794908,-0.363869731,0.004343382,0.87630668,-0.422163963,1,-0.302644972,-0.336448428,0,0.338183,-0.37017,0.32073364,2.029098,-2.22102,4.16953732
0.859301155,-0.413572456,1.026464757,-0.29022612,-0.330260525,0.000908859,0.860742027,-0.43815334,1,-0.319787545,-0.302495635,0,0.3266652,-0.36646014,0.3244408,1.9599912,-2.19876084,4.2177304
0.844075073,-0.428492889,1.026451262,-0.30452164,-0.298408671,-0.000269903,0.844327926,-0.452413526,1,-0.336614527,-0.267349029,0,0.31278342,-0.3391021,0.32295564,1.87670052,-2.0346126,4.19842332
0.828204628,-0.44165013,1.026352769,-0.317408888,-0.263144808,-0.00196987,0.827080574,-0.464888243,1,-0.353109311,-0.231147319,0,0.28828734,-0.35118553,0.3330661,1.72972404,-2.10711318,4.3298593
0.811639049,-0.453341414,1.026421047,-0.331311583,-0.233825681,0.001365566,0.809016994,-0.475528258,1,-0.369255619,-0.194033376,0,0.2271562,-0.3091129,0.31891757,1.3629372,-1.8546774,4.14592841
0.793941896,-0.463241307,1.026297119,-0.353943063,-0.197997867,-0.002478557,0.790155012,-0.484291581,1,-0.385037516,-0.156153672,0,0.09735082,-0.20785666,0.32632172,0.58410492,-1.24713996,4.24218236
